City,Country
Amsterdam,Netherlands
Antalya,Turkey
Bali,Indonesia
Bangkok,Thailand
Barcelona,Spain
Berlin,Germany
Dubai,United Arab Emirates
Hong Kong,Hong Kong
Istanbul,Turkey
Kuala Lumpur,Malaysia
London,United Kingdom
Los Angeles,United States
Madrid,Spain
Makkah,Saudi Arabia
Miami,United States
Milan,Italy
Munich,Germany
New York,United States
Osaka,Japan
Palma de Mallorca,Spain
Paris,France
Pattaya,Thailand
Phuket,Thailand
Prague,Czechia
Rome,Italy
San Francisco,United States
Santa Cruz de la Palma,Spain
Seoul,South Korea
Shanghai,China
Singapore,Singapore
Sydney,Australia
Taipei,Taiwan
Tokyo,Japan
Vienna,Austria
