Country,Country_Code,Year,Arrivals_in_Thousands,Departures_in_Thousands,Expenditures_in_USD_Millions,Receipts_in_USD_Millions
Aruba,ABW,1995,619.0,,554.0,79.0
Afghanistan,AFG,1995,,,,
Angola,AGO,1995,9.0,3.0,27.0,113.0
Albania,ALB,1995,304.0,,70.0,19.0
Andorra,AND,1995,,,,
Arab World,ARB,1995,21155.2189715957,,13945.746167264799,
United Arab Emirates,ARE,1995,2315.0,,632.0,
Argentina,ARG,1995,2289.0,3815.0,2550.0,4013.0
Armenia,ARM,1995,12.0,,14.0,12.0
American Samoa,ASM,1995,34.0,,,
Antigua and Barbuda,ATG,1995,220.0,,247.0,23.0
Australia,AUS,1995,3726.0,2519.0,10370.0,7605.0
Austria,AUT,1995,17173.0,,14529.0,11686.0
Azerbaijan,AZE,1995,,,87.0,165.0
Burundi,BDI,1995,34.0,36.0,2.424994,25.0
Belgium,BEL,1995,5560.0,,4548.0,8115.0
Benin,BEN,1995,138.0,,85.0,48.0
Burkina Faso,BFA,1995,124.0,,,
Bangladesh,BGD,1995,156.0,830.0,25.0,234.0
Bulgaria,BGR,1995,3466.0,3524.0,662.0,312.0
Bahrain,BHR,1995,2311.0,,593.0,320.0
"Bahamas, The",BHS,1995,1598.0,,1356.0,241.0
Bosnia and Herzegovina,BIH,1995,,,,
Belarus,BLR,1995,160.6,626.0,28.0,101.0
Belize,BLZ,1995,131.0,,78.0,33.0
Bermuda,BMU,1995,387.0,,488.0,
Bolivia,BOL,1995,284.0,249.0,92.0,72.0
Brazil,BRA,1995,1991.0,2600.0,1085.0,3982.0
Barbados,BRB,1995,442.0,,630.0,110.0
Brunei Darussalam,BRN,1995,,,,
Bhutan,BTN,1995,4.8,,5.0,
Botswana,BWA,1995,521.0,,176.0,153.0
Central African Republic,CAF,1995,26.0,,4.0,43.0
Canada,CAN,1995,16932.0,18206.0,9176.0,12658.0
Central Europe and the Baltics,CEB,1995,39224.0,72853.75950178209,17794.0,11718.0
Switzerland,CHE,1995,6946.0,11148.0,11354.0,9478.0
Channel Islands,CHI,1995,,,,
Chile,CHL,1995,1540.0,,1186.0,934.0
China,CHN,1995,20034.0,4520.0,8730.0,3688.0
Cote d'Ivoire,CIV,1995,,,103.0,312.0
Cameroon,CMR,1995,,,75.0,140.0
"Congo, Dem. Rep.",COD,1995,35.0,,,
"Congo, Rep.",COG,1995,37.0,,14.66914,69.0
Colombia,COL,1995,1399.0,1057.0,887.0,1162.0
Comoros,COM,1995,23.0,,22.0,15.0
Cabo Verde,CPV,1995,28.0,,29.0,20.0
Costa Rica,CRI,1995,785.0,273.0,763.0,336.0
Caribbean small states,CSS,1995,4485.0,,4291.0,767.0
Cuba,CUB,1995,742.0,72.0,1100.0,
Curacao,CUW,1995,224.0,,175.0,
Cayman Islands,CYM,1995,361.0,,394.0,
Cyprus,CYP,1995,2100.0,360.0,2019.321,473.4821
Czech Republic,CZE,1995,3381.0,,2880.0,1635.0
Germany,DEU,1995,14847.0,,24052.0,66527.0
Djibouti,DJI,1995,21.0,,5.4,16.3
Dominica,DMA,1995,60.0,,42.0,6.0
Denmark,DNK,1995,,,3691.0,4288.0
Dominican Republic,DOM,1995,1776.0,168.0,1571.0,267.0
Algeria,DZA,1995,520.0,1090.0,32.0,186.0
East Asia & Pacific (excluding high income),EAP,1995,43574.268855232396,18978.130049864398,31262.9162958549,14556.748812429
Early-demographic dividend,EAR,1995,70026.35933121272,51587.1026607436,45440.1093192372,31431.806156211398
East Asia & Pacific,EAS,1995,77633.9794405361,,80690.6995558179,103566.510522762
Europe & Central Asia (excluding high income),ECA,1995,32278.4596471847,51164.0235716749,11770.3535852682,15185.2987175036
Europe & Central Asia,ECS,1995,295513.16358061804,,240563.455292208,236374.804639899
Ecuador,ECU,1995,440.0,271.0,315.0,331.0
"Egypt, Arab Rep.",EGY,1995,2871.0,2683.0,2954.0,1371.0
Euro area,EMU,1995,196847.0,,164600.114,155263.4821
Eritrea,ERI,1995,315.0,,58.0,
Spain,ESP,1995,32971.0,3648.0,27369.0,5826.0
Estonia,EST,1995,530.0,1764.0,452.0,121.0
Ethiopia,ETH,1995,103.0,120.0,177.0,30.0
European Union,EUU,1995,258799.85974951,,215703.114,207600.4821
Fragile and conflict affected situations,FCS,1995,5256.31802932366,,3382.6196005763604,
Finland,FIN,1995,1779.0,5147.0,2383.0,2853.0
Fiji,FJI,1995,318.0,68.0,369.0,82.0
France,FRA,1995,60033.0,18686.0,31295.0,20699.0
Faroe Islands,FRO,1995,,,,
"Micronesia, Fed. Sts.",FSM,1995,,,,
Gabon,GAB,1995,125.0,,94.0,182.0
United Kingdom,GBR,1995,21719.0,41345.0,27577.0,30749.0
Georgia,GEO,1995,85.0,228.0,,
Ghana,GHA,1995,286.0,,30.0,74.0
Gibraltar,GIB,1995,,,,
Guinea,GIN,1995,,,0.911,29.0
"Gambia, The",GMB,1995,45.0,,28.0,16.0
Guinea-Bissau,GNB,1995,,,,5.8
Equatorial Guinea,GNQ,1995,,,1.0,7.0
Greece,GRC,1995,10130.0,,4182.0,1495.0
Grenada,GRD,1995,108.0,,76.0,5.0
Greenland,GRL,1995,,,,
Guatemala,GTM,1995,563.0,333.0,216.0,167.0
Guam,GUM,1995,1362.0,,,
Guyana,GUY,1995,106.0,,33.0,21.0
High income,HIC,1995,378852.19971236197,,401491.182695038,401006.502311084
"Hong Kong SAR, China",HKG,1995,,,9604.0,10497.0
Honduras,HND,1995,271.0,149.0,85.0,99.0
Heavily indebted poor countries (HIPC),HPC,1995,4534.00227929999,,2158.0557901188304,2420.11619379588
Croatia,HRV,1995,1485.0,,1349.0,422.0
Haiti,HTI,1995,145.0,,90.0,35.0
Hungary,HUN,1995,2878.0,13083.0,2938.0,1501.0
IBRD only,IBD,1995,153375.316705201,133493.574315836,86171.9965252399,63662.1546072183
IDA & IBRD total,IBT,1995,166132.36666236998,168679.89456428398,93196.39180886411,68473.9362406803
IDA total,IDA,1995,11529.5886304094,,7100.66687920943,
IDA blend,IDB,1995,4634.74356895626,,2601.24512640308,
Indonesia,IDN,1995,4324.0,,5229.0,2172.0
IDA only,IDX,1995,6799.2483447757,,4589.51273404454,3448.0100124482997
Isle of Man,IMN,1995,,,,
India,IND,1995,2124.0,3056.0,2582.0,996.0
Not classified,INX,1995,,,,
Ireland,IRL,1995,4818.0,2547.0,2697.793,2034.0
"Iran, Islamic Rep.",IRN,1995,568.0,1000.0,205.0,247.0
Iraq,IRQ,1995,61.0,,18.0,117.0
Iceland,ISL,1995,190.0,166.0,309.0,282.0
Israel,ISR,1995,2215.0,2259.0,3491.0,2626.0
Italy,ITA,1995,31052.0,,30411.0,17201.0
Jamaica,JAM,1995,1147.0,,1199.0,173.0
Jordan,JOR,1995,1075.0,1128.0,973.0,719.0
Japan,JPN,1995,3345.0,15298.0,4894.0,46966.0
Kazakhstan,KAZ,1995,,,155.0,296.0
Kenya,KEN,1995,918.0,,785.0,230.0
Kyrgyz Republic,KGZ,1995,36.0,42.0,5.0,7.0
Cambodia,KHM,1995,220.0,31.0,71.0,22.0
Kiribati,KIR,1995,3.9,,2.0,
St. Kitts and Nevis,KNA,1995,79.0,,63.0,5.0
"Korea, Rep.",KOR,1995,3753.0,3819.0,6670.0,6947.0
Kuwait,KWT,1995,72.0,878.0,307.0,2514.0
Latin America & Caribbean (excluding high income),LAC,1995,34945.0,20351.513969632,19245.0,17305.918950118197
Lao PDR,LAO,1995,60.0,,52.0,34.0
Lebanon,LBN,1995,450.0,,710.0,
Liberia,LBR,1995,,,,
Libya,LBY,1995,,484.0,4.0,98.0
St. Lucia,LCA,1995,231.0,,230.0,25.0
Latin America & Caribbean,LCN,1995,47000.37360495499,23686.9483192453,28241.7373869454,20753.5783388833
Least developed countries: UN classification,LDC,1995,4354.10469697809,,2540.59012498107,2366.63989941529
Low income,LIC,1995,4054.4528033677498,,3783.26311931996,2255.80319989804
Liechtenstein,LIE,1995,59.0,,,
Sri Lanka,LKA,1995,403.0,504.0,367.0,279.0
Lower middle income,LMC,1995,30105.407450668605,29620.704079757797,19712.2643072962,9426.44102833228
Low & middle income,LMY,1995,141955.983205955,120524.26314198601,83160.4131938834,60824.6715289646
Lesotho,LSO,1995,209.0,,29.0,17.0
Late-demographic dividend,LTE,1995,107427.508697293,98599.62253032958,61970.7533985864,51064.6523493659
Lithuania,LTU,1995,650.0,1925.0,102.0,107.0
Luxembourg,LUX,1995,768.0,,1695.0,1193.0
